location_id,city,state,country
1,Lake Jerome,South Dakota,Guernsey
2,Kleinland,South Carolina,Australia
3,East Kristin,North Carolina,Turks and Caicos Islands
4,Juliebury,Georgia,Norway
5,Lake Cherylberg,Missouri,China
6,Williambury,Hawaii,Bangladesh
7,Davidchester,Michigan,Spain
8,New Kelli,Maine,Namibia
9,North Bradley,Minnesota,Wallis and Futuna
10,North Justinshire,Arkansas,Ethiopia
11,Schmidtborough,Virginia,Mauritania
12,Ryanville,Louisiana,Cote d'Ivoire
13,Hunterfurt,Wisconsin,Fiji
14,Port Lucas,Oregon,Malawi
15,Kirkberg,Tennessee,Grenada
16,Jillmouth,Connecticut,Macao
17,New Thomas,Mississippi,Saint Lucia
18,Joannebury,Idaho,Serbia
19,Port Timothy,North Dakota,Netherlands
20,West Heiditon,Minnesota,Rwanda
21,Jillhaven,Arkansas,Austria
22,Mosleyside,Delaware,Cayman Islands
23,Danielland,New York,Malawi
24,Teresaton,Kansas,Kiribati
25,Lake Sean,Connecticut,Faroe Islands
26,Port Ashley,Connecticut,Pitcairn Islands
27,Dixonside,Ohio,Hong Kong
28,Beltranshire,Mississippi,Oman
29,Wendyton,Georgia,Svalbard & Jan Mayen Islands
30,Lake Marcusside,Tennessee,Nigeria
31,Collinsshire,Arkansas,Tunisia
32,North Kathryn,Pennsylvania,Cuba
33,East Michaeltown,Kentucky,Nepal
34,North Gabriela,North Carolina,Heard Island and McDonald Islands
35,New Vanessa,Oregon,Pakistan
36,South Christina,Montana,Swaziland
37,Lake John,Oklahoma,Kyrgyz Republic
38,Brianbury,Oregon,Timor-Leste
39,West Phillip,California,Guatemala
40,New Jamesfurt,New Mexico,Sierra Leone
41,North Denise,Tennessee,Singapore
42,East Nicole,Indiana,Cameroon
43,Georgehaven,Tennessee,Guam
44,Michaelview,Maryland,Trinidad and Tobago
45,Davidside,West Virginia,Greenland
46,Port Heather,Colorado,Lao People's Democratic Republic
47,New Jennifer,Arizona,Kazakhstan
48,West Luis,South Carolina,Saint Lucia
49,Reedchester,Rhode Island,Jordan
50,Wellsshire,North Carolina,Myanmar
51,South Alexander,South Dakota,Mayotte
52,Jessicatown,Virginia,Luxembourg
53,South Jessica,Oklahoma,Cuba
54,East Wendyport,Wisconsin,Guadeloupe
55,New Amy,North Dakota,Mexico
56,New Aaronville,Louisiana,Antarctica (the territory South of 60 deg S)
57,Port Anthonyshire,Kentucky,Morocco
58,New Derektown,Virginia,Guatemala
59,Loritown,Colorado,Guinea
60,Chelseaborough,Connecticut,Antigua and Barbuda
61,Kerrville,Kansas,Montserrat
62,Fisherville,Iowa,Azerbaijan
63,Steeleburgh,Connecticut,Dominica
64,Port Connieborough,Kansas,Mauritania
65,Sosaburgh,Tennessee,Japan
66,Port Lori,Connecticut,Dominica
