transaction_id,customer_id,product_id,date_id,amount,quantity
1,88,76,2022-07-27,253.37,2
2,1480,275,2021-07-17,683.42,5
3,1829,126,2022-11-16,143.9,5
4,1689,106,2022-04-23,2493.36,2
5,1733,243,2022-07-03,416.79,3
6,1282,132,2022-05-11,945.82,5
7,1472,10,2021-08-06,,1
8,10,240,2021-02-25,234.56,1
9,1947,216,2021-07-17,,2
10,80,244,2022-11-16,65.42,1
11,1731,6,2021-09-29,323.17,1
12,1431,126,2021-11-21,432.06,4
13,1212,232,2021-08-04,1412.03,4
14,1560,28,2021-11-01,404.84,5
15,48,169,2021-01-25,594.67,3
16,548,26,2021-07-14,969.38,3
17,1851,118,2022-02-15,259.43,4
18,1641,291,2022-09-18,2111.46,1
19,130,248,2021-05-08,281.46,1
20,502,271,2022-05-23,352.0,5
21,1575,117,2021-05-24,1368.93,5
22,674,132,2021-07-05,1317.14,3
23,1632,157,2021-12-12,1282.13,1
24,1177,224,2021-03-28,139.34,1
25,588,90,2021-01-11,79.76,2
26,530,152,2022-05-02,763.88,1
27,60,23,2021-11-30,1262.65,3
28,443,4,2022-02-05,,4
29,1637,275,2022-08-18,601.61,3
30,188,67,2022-03-16,927.22,3
31,998,163,2021-11-14,1952.1,3
32,1908,138,2022-06-26,2344.41,5
33,878,198,2021-01-15,1538.84,2
34,1517,253,2022-12-12,68.52,2
35,1208,233,2022-05-21,566.92,3
36,1386,127,2021-10-10,1134.65,1
37,1169,240,2022-02-15,131.66,2
38,1633,208,2022-05-23,745.47,3
39,269,45,2022-03-19,775.78,3
40,1676,48,2022-07-13,361.17,4
41,1604,254,2021-05-28,125.92,1
42,1347,77,2021-09-19,666.91,1
43,1685,150,2021-08-02,184.76,5
44,266,196,2021-11-12,757.24,4
45,181,28,2022-01-30,178.55,3
46,183,13,2021-09-11,1554.0,4
47,978,287,2021-11-05,944.31,2
48,234,12,2022-03-13,1754.99,3
49,719,77,2021-11-19,424.74,4
50,591,210,2022-11-07,1132.63,5
51,1345,136,2022-11-16,1318.67,4
52,1750,132,2022-06-30,1548.3,4
53,560,251,2022-11-15,59.63,4
54,467,71,2022-01-08,1188.04,1
55,1108,77,2022-05-11,700.65,2
56,1806,158,2022-08-02,491.57,4
57,1120,155,2021-04-30,309.45,5
58,640,73,2022-06-08,900.47,4
59,1493,164,2022-08-27,1625.27,2
60,1080,205,2022-07-20,467.72,2
61,935,244,2022-04-03,273.27,2
62,487,2,2021-02-21,179.55,4
63,37,202,2022-07-03,85.38,2
64,188,244,2022-07-19,67.05,1
65,1204,75,2022-11-06,988.03,4
66,1482,56,2022-05-30,1009.82,4
67,1291,127,2021-07-24,461.42,3
68,1561,180,2021-07-11,358.54,1
69,237,152,2022-03-21,1376.7,1
70,593,245,2022-11-17,505.91,4
71,657,208,2022-05-15,1476.02,3
72,1160,176,2022-10-27,737.94,2
73,1112,224,2022-04-30,305.24,5
74,128,29,2022-05-26,1627.48,5
75,953,46,2021-03-31,397.67,3
76,1798,181,2021-01-26,758.0,5
77,1906,297,2022-07-31,1300.2,1
78,953,115,2021-05-05,488.38,5
79,403,81,2022-06-04,250.5,2
80,24,212,2021-10-07,104.37,2
81,1296,174,2021-09-02,1652.73,5
82,1624,210,2021-07-26,381.35,4
83,826,264,2022-09-12,1016.01,1
84,323,90,2021-10-21,82.38,2
85,612,34,2021-01-25,2173.1,3
86,1242,236,2022-07-07,1558.05,5
87,733,76,2021-10-10,399.7,4
88,1663,258,2022-09-01,513.98,2
89,1367,124,2022-05-10,1234.35,5
90,792,135,2022-07-24,128.01,1
91,1655,229,2022-11-13,695.82,5
92,381,285,2022-08-06,158.47,4
93,1893,82,2022-07-16,1595.13,3
94,193,141,2022-07-20,438.56,1
95,1187,127,2022-04-24,1591.49,4
96,1729,123,2021-03-26,143.52,1
97,974,77,2022-12-16,488.48,5
98,264,252,2021-06-01,123.03,4
99,468,56,2022-02-09,325.89,2
100,1237,206,2021-09-26,828.62,1
101,1559,96,2021-04-04,203.21,5
102,1815,182,2021-05-29,211.15,1
103,247,32,2022-12-07,30.51,1
104,7,271,2022-05-12,316.07,2
105,97,266,2022-08-18,1784.11,2
106,54,37,2022-03-28,859.25,1
107,900,205,2021-07-11,436.52,3
108,764,262,2021-11-06,378.82,1
109,1961,19,2021-01-03,388.71,3
110,138,94,2021-11-17,1989.69,5
111,96,126,2022-02-25,657.2,2
112,649,62,2021-07-08,938.8,4
113,1385,129,2021-03-14,1798.72,4
114,1056,9,2021-12-12,168.23,5
115,1032,93,2021-10-11,189.95,5
116,1617,214,2021-04-24,393.96,3
117,231,110,2021-09-05,1781.62,3
118,1559,240,2021-06-09,122.65,5
119,555,39,2022-06-23,,4
120,1931,54,2021-11-26,38.97,4
121,1996,56,2022-08-14,431.1,1
122,1692,142,2022-01-27,817.25,1
123,132,89,2022-11-12,28.35,4
124,1958,98,2022-11-17,59.88,2
125,512,290,2022-02-11,368.09,5
126,64,149,2021-02-18,323.55,4
127,397,57,2021-07-03,,3
128,396,234,2021-04-14,106.47,1
129,1586,288,2022-03-29,647.87,5
130,1715,266,2022-11-01,1735.85,5
131,214,4,2021-05-19,615.28,4
132,430,143,2021-08-11,2482.36,5
133,1201,74,2021-01-03,2266.37,1
134,1458,42,2022-08-19,511.17,2
135,1545,16,2021-02-27,731.17,2
136,1974,294,2022-05-06,798.4,1
137,1847,249,2022-01-13,1303.79,3
138,761,198,2022-11-23,339.12,3
139,398,273,2021-08-20,669.59,3
140,1687,211,2021-03-04,2097.81,2
141,334,21,2022-10-01,1548.63,1
142,353,273,2021-12-27,,5
143,1523,23,2022-07-09,880.23,5
144,357,123,2021-02-12,415.7,1
145,1403,112,2022-08-25,1731.64,2
146,1434,95,2021-07-11,580.11,5
147,454,15,2021-09-29,316.9,4
148,1303,46,2022-12-10,850.82,1
149,1891,272,2021-06-20,456.42,3
150,1143,263,2021-11-15,38.64,5
151,748,240,2021-12-09,203.05,4
152,1572,120,2022-12-26,652.06,4
153,1078,82,2021-01-19,354.91,5
154,1128,247,2022-04-24,803.02,4
155,1589,68,2022-09-28,134.16,5
156,82,279,2021-11-14,574.69,1
157,1744,279,2021-01-13,1423.47,4
158,458,40,2022-01-10,732.04,5
159,1230,108,2021-10-28,1789.55,5
160,1215,159,2021-08-24,103.94,4
161,981,61,2021-03-10,,1
162,1046,139,2022-09-09,1426.43,2
163,846,273,2021-09-06,631.76,3
164,229,200,2021-01-27,,4
165,1938,185,2021-04-22,601.84,2
166,362,272,2021-01-30,683.61,3
167,1748,117,2022-01-09,,4
168,1548,209,2021-07-11,239.85,1
169,338,154,2022-06-21,,5
170,45,251,2022-05-12,94.58,5
171,1460,28,2022-12-24,854.33,5
172,1095,56,2021-04-03,1874.37,4
173,1626,57,2021-10-30,264.98,5
174,415,76,2022-10-15,730.93,3
175,996,286,2022-03-21,1124.87,4
176,538,51,2021-07-24,177.7,5
177,1502,207,2022-09-22,501.93,5
178,100,204,2021-06-18,,2
179,709,119,2021-12-23,1148.61,5
180,251,171,2022-11-11,760.68,5
181,1508,283,2021-06-05,2149.37,1
182,639,101,2022-04-14,161.67,4
183,134,219,2022-03-06,26.03,5
184,706,146,2022-06-21,394.37,5
185,1156,90,2021-12-08,23.16,3
186,719,142,2022-08-02,1009.24,4
187,1948,245,2021-02-16,1395.69,3
188,86,69,2021-09-24,134.0,5
189,1377,281,2021-03-09,1590.44,2
190,200,118,2022-04-19,67.04,2
191,1242,103,2022-07-05,505.65,5
192,1538,4,2022-05-17,972.88,4
193,324,149,2021-05-25,981.24,5
194,1761,165,2022-10-10,102.94,2
195,1649,227,2022-05-04,754.3,2
196,778,285,2021-11-28,,3
197,1785,237,2022-01-29,2101.6,2
198,555,42,2022-10-04,871.08,1
199,1679,99,2022-10-30,808.5,1
200,355,135,2021-03-26,607.92,3
201,1233,285,2022-08-19,156.04,5
202,821,123,2022-06-20,191.25,2
203,1084,270,2022-06-14,220.63,5
204,400,99,2021-03-01,,4
205,541,106,2021-12-12,1810.37,2
206,696,170,2021-09-30,768.98,3
207,537,185,2021-11-18,,5
208,165,145,2021-02-15,372.58,5
209,1270,99,2021-07-06,269.68,4
210,1308,190,2021-02-14,1089.45,3
211,713,131,2021-07-07,832.67,4
212,577,45,2021-03-14,2073.77,2
213,660,196,2022-09-22,694.02,5
214,1214,277,2022-03-26,19.11,1
215,1646,104,2021-02-20,1231.98,1
216,1574,158,2022-09-01,1094.3,2
217,55,174,2022-10-09,378.89,2
218,1612,215,2021-09-08,,2
219,614,110,2021-04-10,354.56,4
220,1391,254,2021-04-21,564.65,2
221,482,88,2022-03-21,220.32,2
222,1192,251,2022-10-27,46.75,5
223,335,77,2022-04-01,198.24,3
224,848,277,2022-07-10,56.61,5
225,1778,170,2021-08-07,1368.43,4
226,151,187,2021-01-29,563.04,5
227,602,118,2021-01-08,254.77,5
228,527,32,2022-12-13,46.03,4
229,976,222,2022-01-01,,1
230,888,39,2022-03-20,466.33,3
231,874,127,2021-10-15,2050.08,3
232,737,266,2022-06-22,1883.35,4
233,1249,173,2022-05-23,847.05,1
234,323,103,2022-01-31,2183.55,1
235,1011,234,2022-09-21,521.32,3
236,95,226,2021-12-17,,2
237,1925,52,2022-09-22,640.93,3
238,493,89,2022-11-20,,4
239,1664,205,2021-06-30,451.96,2
240,719,112,2021-12-15,1397.92,2
241,1103,12,2021-05-22,905.18,3
242,742,101,2021-12-22,30.41,3
243,768,53,2021-07-28,1260.2,1
244,356,155,2022-03-12,490.8,3
245,31,32,2022-06-18,13.51,2
246,427,238,2021-12-13,212.07,5
247,1995,114,2022-09-07,250.49,3
248,1388,91,2021-09-13,384.41,1
