location_id,city,state,country
340,Port Travis,Alabama,North Macedonia
158,Navarrobury,Michigan,Brazil
457,North Jenniferview,North Carolina,Australia
218,Lake Latoyaside,Alabama,India
48,West Luis,South Carolina,Saint Lucia
496,Daniellefurt,Washington,Cape Verde
178,Whitebury,North Dakota,Iceland
191,Martinezbury,South Dakota,North Macedonia
415,Craigshire,South Dakota,Jamaica
427,Lake Cassiestad,Kentucky,Mali
440,Port Saraport,Massachusetts,Falkland Islands (Malvinas)
372,Alexshire,Utah,Bahrain
76,Torresview,Kansas,Montenegro
232,Perryland,South Dakota,Equatorial Guinea
362,Fraziershire,Alabama,Argentina
205,New Michaelmouth,New Hampshire,Equatorial Guinea
382,Velasquezfort,Oklahoma,Puerto Rico
450,Edwardsbury,Washington,Denmark
451,Martinbury,North Carolina,Vietnam
466,Johnsonchester,West Virginia,Congo
204,South Eugene,Wyoming,Colombia
181,North Linda,Texas,Jamaica
291,South Jessicamouth,Alaska,Puerto Rico
13,Hunterfurt,Wisconsin,Fiji
130,Gabriellefort,Kentucky,Cape Verde
254,North Cassandra,New Jersey,Libyan Arab Jamahiriya
268,Lake Rachaelshire,Idaho,Solomon Islands
305,South Sharon,Arizona,Jamaica
221,Wilkinsburgh,Montana,Micronesia
249,East Curtis,California,India
270,Mooreland,Idaho,Finland
281,Mcguiremouth,Florida,Syrian Arab Republic
333,Codyshire,California,Albania
194,Jasonton,Massachusetts,Saint Barthelemy
297,Jonesville,Missouri,Korea
343,New Jonathanborough,Indiana,Cuba
314,West Sierraview,Rhode Island,Saint Lucia
321,Christineside,Indiana,Peru
453,West Frankhaven,Utah,Saint Lucia
347,Christopherchester,Massachusetts,Palau
495,Sandovalville,Washington,Qatar
497,North John,Hawaii,Guinea
47,New Jennifer,Arizona,Kazakhstan
392,Lopeztown,Wyoming,Serbia
55,New Amy,North Dakota,Mexico
85,Houstonberg,Utah,Brunei Darussalam
279,Kimfurt,Washington,Benin
67,Port Richardton,Tennessee,Israel
101,Port Terri,Rhode Island,Botswana
132,Schultztown,Tennessee,Reunion
65,Sosaburgh,Tennessee,Japan
106,Bradleytown,Idaho,Gabon
369,Smithstad,Maine,Liberia
166,Derekview,Missouri,Ecuador
6,Williambury,Hawaii,Bangladesh
53,South Jessica,Oklahoma,Cuba
259,Clarkmouth,Alaska,Dominican Republic
404,Suareztown,Florida,Sierra Leone
160,Hamiltonstad,California,Madagascar
375,North Michelleshire,Pennsylvania,Samoa
410,New Tonya,New Mexico,Guernsey
483,Amandashire,South Dakota,Bangladesh
105,Randyland,Tennessee,Albania
131,South Susanchester,Illinois,Taiwan
206,North Brandon,Delaware,Papua New Guinea
230,Heathertown,Idaho,Costa Rica
359,Tammyview,Kentucky,Niger
371,Jacksonville,Florida,Taiwan
486,Port Kimberly,Maine,Martinique
35,New Vanessa,Oregon,Pakistan
154,North Dannyside,Iowa,Panama
480,South Eric,Ohio,Jordan
22,Mosleyside,Delaware,Cayman Islands
193,North Ian,Illinois,Ecuador
280,New Keithview,Arizona,Micronesia
407,Garcialand,Colorado,Mayotte
491,Michellemouth,Alaska,Mali
126,Port Heidiville,Hawaii,South Georgia and the South Sandwich Islands
210,Shaneburgh,Louisiana,China
395,Kennethhaven,Indiana,United States Virgin Islands
284,New Angelside,Idaho,Congo
390,Mariastad,Pennsylvania,Martinique
443,Port James,Florida,India
68,West Jeremyhaven,Connecticut,New Zealand
449,South Danaton,Mississippi,Panama
57,Port Anthonyshire,Kentucky,Morocco
287,Kathleenchester,Nebraska,Armenia
402,Christopherbury,North Dakota,Paraguay
2,Kleinland,South Carolina,Australia
59,Loritown,Colorado,Guinea
207,Alexandriachester,Virginia,Cote d'Ivoire
247,New Arielport,Idaho,French Guiana
302,New Timothymouth,Wyoming,Western Sahara
309,Butlerburgh,Texas,Gibraltar
294,Burnsbury,Connecticut,Malaysia
308,West Sheena,Virginia,Tanzania
391,South Xavierview,Michigan,Reunion
190,East Jared,Vermont,Sri Lanka
288,North Kenneth,Nebraska,United Kingdom
152,Lake Robertburgh,Kansas,Mali
200,Fullerport,Missouri,San Marino
307,Lake Lisa,Oklahoma,Uganda
115,South Elizabeth,Kansas,Andorra
244,East Pamport,Michigan,Tokelau
334,Brittanyshire,Maryland,Turkmenistan
30,Lake Marcusside,Tennessee,Nigeria
122,Lake Jeffhaven,New Mexico,Paraguay
460,North Katherineland,Oregon,Congo
75,South Michael,Alaska,Albania
226,Port Jeremy,Wisconsin,Norway
114,Mooreview,New Mexico,Namibia
445,West Rachel,Oklahoma,Djibouti
150,Brownburgh,Connecticut,Jordan
266,Patelton,California,French Southern Territories
317,Turnerchester,Iowa,Latvia
176,Port Maryfurt,New York,Bulgaria
272,Haroldbury,Idaho,Hong Kong
409,Monicaville,Delaware,Lebanon
61,Kerrville,Kansas,Montserrat
129,Lake Justin,Louisiana,Montserrat
256,East Richardside,Wisconsin,Sweden
143,Lindamouth,Maine,Italy
251,Irwinfurt,South Dakota,Senegal
356,South Donald,Florida,Mali
111,Lisatown,New York,Bosnia and Herzegovina
163,East Tarafort,Oregon,Fiji
248,Martinmouth,Maine,Rwanda
86,South Kelly,Colorado,Iceland
134,Mendozamouth,Pennsylvania,Finland
394,South Victorialand,Wisconsin,Jamaica
27,Dixonside,Ohio,Hong Kong
109,North Thomasstad,Utah,Saint Vincent and the Grenadines
260,New Karen,Nebraska,Malaysia
431,Whitemouth,Mississippi,Mauritius
136,Chambersview,Idaho,Brunei Darussalam
283,Ashleyton,Rhode Island,Cuba
151,Pearsonbury,Wisconsin,Rwanda
235,Lake Philip,New York,Barbados
240,Whiteborough,Minnesota,Kyrgyz Republic
301,South Gina,South Carolina,Saint Martin
304,Port Cameronside,Maryland,Romania
487,New Kevinfort,Washington,China
433,Haleyhaven,Georgia,Samoa
418,Ellisburgh,Kansas,Saint Helena
149,Jonesport,Massachusetts,Monaco
344,South Calvinborough,Wisconsin,Nicaragua
64,Port Connieborough,Kansas,Mauritania
312,Snyderview,Georgia,Heard Island and McDonald Islands
327,South Lauren,Connecticut,Liberia
342,Davisbury,New Hampshire,Ecuador
428,East Rhondastad,Alaska,Christmas Island
8,New Kelli,Maine,Namibia
14,Port Lucas,Oregon,Malawi
18,Joannebury,Idaho,Serbia
119,Jordanmouth,Hawaii,Cyprus
24,Teresaton,Kansas,Kiribati
324,Marcusmouth,Kansas,Afghanistan
364,West Kathy,Nevada,Kazakhstan
389,Juanbury,Hawaii,Tunisia
474,Ericberg,Wisconsin,Spain
9,North Bradley,Minnesota,Wallis and Futuna
29,Wendyton,Georgia,Svalbard & Jan Mayen Islands
159,New Annette,Rhode Island,Congo
83,Lake Jasonland,Arkansas,Portugal
148,North Jackson,North Dakota,Saint Helena
348,Lake Lauraborough,Connecticut,Equatorial Guinea
34,North Gabriela,North Carolina,Heard Island and McDonald Islands
195,South Joyce,North Dakota,Bosnia and Herzegovina
376,Lake Michaelville,New Hampshire,Korea
420,Salinaschester,North Dakota,United Arab Emirates
128,North Debraville,Tennessee,Guatemala
72,New Jaclyn,Kansas,Poland
295,Lake Penny,Georgia,Somalia
322,New Melissafort,Wisconsin,Panama
458,New Patrick,Hawaii,Armenia
250,Jacksonville,Arizona,Croatia
212,North Brendan,Kansas,Malta
261,New Traceyview,Idaho,Bolivia
5,Lake Cherylberg,Missouri,China
33,East Michaeltown,Kentucky,Nepal
43,Georgehaven,Tennessee,Guam
318,Elizabethside,Maryland,Cape Verde
461,Williamborough,Maine,Panama
103,Lake Catherine,South Dakota,Bosnia and Herzegovina
242,New Christopherchester,Virginia,Morocco
298,Martinport,Florida,Kuwait
330,Molinachester,Massachusetts,Kyrgyz Republic
118,Christopherfurt,Massachusetts,Chile
351,Port Waynemouth,Arkansas,Djibouti
7,Davidchester,Michigan,Spain
141,West Kathy,Hawaii,Mozambique
164,Simpsonside,Alabama,Vietnam
224,Powellville,New Jersey,French Polynesia
227,Edwardbury,Arkansas,Saint Martin
271,New Sergiohaven,Washington,Finland
393,East Brendaville,Illinois,Greenland
243,Davidsonshire,Utah,Colombia
50,Wellsshire,North Carolina,Myanmar
184,West Walter,Nevada,Solomon Islands
188,South Manuelhaven,New Jersey,France
442,Morrisbury,Tennessee,Burkina Faso
484,New Jasonhaven,New Mexico,Saint Lucia
185,Herreraton,Georgia,Pakistan
246,New Lisafort,New Mexico,Egypt
397,Lake Frank,North Dakota,Marshall Islands
455,West Thomasland,Montana,Tanzania
493,Walshport,Connecticut,Latvia
66,Port Lori,Connecticut,Dominica
74,Paulton,Maine,Greece
267,Carolchester,Hawaii,Algeria
168,East Angelaburgh,Nevada,United States of America
439,Bakershire,Louisiana,Andorra
478,Christiebury,Delaware,Latvia
222,New Mariashire,Washington,Zimbabwe
100,North Nicole,South Carolina,Maldives
303,Rhodesburgh,Delaware,South Africa
237,Lake Heather,Illinois,Svalbard & Jan Mayen Islands
293,Jefferyview,Indiana,Argentina
299,Micheleberg,Michigan,Western Sahara
311,Baldwinhaven,Vermont,Indonesia
265,North Karenborough,Arkansas,Wallis and Futuna
202,Harrisberg,Kentucky,Niue
319,New Heidiborough,Montana,Congo
357,South Courtneychester,Colorado,Pakistan
481,Richardberg,Missouri,Marshall Islands
46,Port Heather,Colorado,Lao People's Democratic Republic
167,Lawrencebury,Maryland,Bosnia and Herzegovina
328,Ericborough,New York,Korea
21,Jillhaven,Arkansas,Austria
23,Danielland,New York,Malawi
323,Mullinsburgh,Oklahoma,Ukraine
385,North Marcus,Wyoming,Cayman Islands
219,Garciamouth,New Mexico,Guyana
253,West Michael,New York,Singapore
338,Aprilport,North Dakota,Italy
473,Howellbury,Oregon,New Caledonia
498,North Juan,Oregon,Madagascar
45,Davidside,West Virginia,Greenland
91,Lucasstad,Ohio,Mauritius
269,East Taylorville,Georgia,Ghana
352,Underwoodshire,South Carolina,Equatorial Guinea
138,Port Michael,Minnesota,Marshall Islands
325,South John,Delaware,Togo
37,Lake John,Oklahoma,Kyrgyz Republic
174,Amyberg,Delaware,Japan
56,New Aaronville,Louisiana,Antarctica (the territory South of 60 deg S)
144,Hansenshire,Mississippi,Seychelles
337,South Jennifer,Minnesota,Pitcairn Islands
425,West Kennethberg,Vermont,Holy See (Vatican City State)
476,Lake Garyland,Indiana,Czech Republic
329,West Matthewmouth,Kentucky,Paraguay
135,Port Aaronview,Illinois,Bolivia
170,Port Holly,Florida,Korea
78,Mullinsstad,Connecticut,Falkland Islands (Malvinas)
387,Cruzfort,Massachusetts,Norfolk Island
79,Wolfeburgh,Louisiana,Yemen
169,Tracimouth,Georgia,Lao People's Democratic Republic
171,South Ashley,West Virginia,El Salvador
252,Marilynhaven,Idaho,Switzerland
354,Harringtonberg,Illinois,Finland
370,Hughesmouth,Kentucky,Myanmar
326,New Roberthaven,Missouri,El Salvador
406,Amymouth,Florida,Guinea
463,Christianton,Pennsylvania,Malta
31,Collinsshire,Arkansas,Tunisia
292,Jenniferview,Louisiana,Suriname
363,Catherinehaven,Iowa,Greenland
383,West Gabriella,Iowa,Angola
87,Quinnbury,Michigan,Liechtenstein
142,Lake Mark,Kentucky,Equatorial Guinea
234,East Joseph,North Dakota,Algeria
300,South Michaelside,Wyoming,Netherlands Antilles
386,Dorothychester,South Carolina,Saint Martin
245,Rodriguezfort,Iowa,Burundi
400,South Marcburgh,Vermont,Bolivia
494,Lake Daniel,Utah,Ireland
500,Kelseyhaven,Connecticut,Falkland Islands (Malvinas)
12,Ryanville,Louisiana,Cote d'Ivoire
96,East Alexisfurt,Illinois,Malawi
198,Lamburgh,Oregon,San Marino
336,West Antonioville,Delaware,Saint Vincent and the Grenadines
52,Jessicatown,Virginia,Luxembourg
263,North Katrinaville,Delaware,Nigeria
353,West Kara,Kentucky,Algeria
475,Scottshire,Arizona,Togo
332,West Christinachester,North Carolina,Congo
414,West Diane,Alabama,Mexico
416,Thomasfort,Indiana,Monaco
147,Brianastad,Mississippi,Finland
162,Harmonmouth,Virginia,Ethiopia
213,Lake Joelton,Wisconsin,Wallis and Futuna
264,Sanchezfurt,Tennessee,Bhutan
15,Kirkberg,Tennessee,Grenada
10,North Justinshire,Arkansas,Ethiopia
49,Reedchester,Rhode Island,Jordan
396,Chavezfurt,Delaware,Iraq
422,East Natalie,Georgia,Botswana
117,North Jeffside,Tennessee,Mongolia
258,Davidmouth,Wisconsin,Andorra
345,West Maryfort,Kansas,Papua New Guinea
470,Ramosshire,New Jersey,Mauritius
145,Lake Kelseyville,Tennessee,Norfolk Island
172,Watkinsstad,California,Cook Islands
405,Richardtown,Mississippi,Syrian Arab Republic
157,West Darlene,Nebraska,Hungary
217,New Marisatown,Washington,Kiribati
421,South Joshua,Arkansas,Lebanon
465,Smithberg,Idaho,Belarus
289,Heatherfurt,Colorado,Mayotte
108,Port Marcland,Alaska,United Arab Emirates
120,Port Kimberly,Ohio,Romania
127,Johnsonport,Missouri,Fiji
88,New Michealmouth,Tennessee,Congo
277,West Michael,Alaska,Swaziland
3,East Kristin,North Carolina,Turks and Caicos Islands
20,West Heiditon,Minnesota,Rwanda
25,Lake Sean,Connecticut,Faroe Islands
94,Port Donaldtown,Arizona,Slovakia (Slovak Republic)
71,Briannatown,Maine,Serbia
153,North Robert,Kentucky,Djibouti
173,Esparzaburgh,Arkansas,Croatia
192,Rasmussenmouth,Mississippi,French Polynesia
165,South Hollystad,West Virginia,Greece
51,South Alexander,South Dakota,Mayotte
77,Cookfurt,South Carolina,Morocco
211,Clarkberg,Texas,American Samoa
290,East Christopherburgh,New Jersey,Isle of Man
378,Kellyton,Arizona,Jordan
123,New Georgeview,Arizona,Sao Tome and Principe
464,Lewischester,Utah,Botswana
468,South Catherine,Arizona,Palestinian Territory
471,Jenniferside,Delaware,Singapore
341,Ellistown,Pennsylvania,Kyrgyz Republic
73,Sullivanside,Idaho,Paraguay
379,Reedchester,West Virginia,Lao People's Democratic Republic
32,North Kathryn,Pennsylvania,Cuba
228,North Becky,Vermont,Costa Rica
339,Susanhaven,New Mexico,Lebanon
444,Port Jenniferborough,Texas,Pakistan
469,Smithville,Hawaii,Northern Mariana Islands
1,Lake Jerome,South Dakota,Guernsey
233,Grayside,Vermont,Tokelau
257,Lake Larryfurt,Kansas,Albania
296,East Ericland,Delaware,Niue
313,New Jeanette,South Dakota,Faroe Islands
424,Jordantown,Florida,Turkey
104,Andrewview,Idaho,Guinea-Bissau
216,Port Tracy,Alaska,United States Minor Outlying Islands
273,Timothystad,California,Japan
124,South Mark,Rhode Island,Saint Barthelemy
139,Weavertown,California,Samoa
366,South Janemouth,Colorado,Morocco
373,New Eduardoland,Maine,United States of America
419,North Lauren,North Dakota,Ukraine
220,Morgantown,Illinois,Libyan Arab Jamahiriya
401,Lake Jerry,Rhode Island,Bermuda
408,Colemanbury,Connecticut,Slovakia (Slovak Republic)
411,Wrightview,Missouri,Western Sahara
4,Juliebury,Georgia,Norway
315,South Thomas,West Virginia,Spain
360,Milesview,Vermont,British Virgin Islands
92,Dawnberg,Connecticut,Trinidad and Tobago
241,New Jesse,Tennessee,Northern Mariana Islands
398,East Ryanland,Montana,Mayotte
189,Adamsport,Virginia,Sao Tome and Principe
399,Mooreborough,Montana,Chile
62,Fisherville,Iowa,Azerbaijan
388,Lozanoport,Vermont,Lao People's Democratic Republic
229,Port Eric,Utah,Nepal
278,South Susanmouth,Arkansas,Sao Tome and Principe
112,New Antonio,California,Malawi
274,West Lisa,Michigan,Botswana
467,Lake Rachelburgh,Washington,Zambia
82,South Sandra,Michigan,South Georgia and the South Sandwich Islands
110,Port Jill,Louisiana,Burundi
436,Sandovalmouth,Ohio,Myanmar
437,East Jake,Nevada,Luxembourg
26,Port Ashley,Connecticut,Pitcairn Islands
492,South Ryanburgh,Arizona,Congo
97,Port Jayburgh,Rhode Island,Nepal
177,New Rachel,Vermont,Tonga
182,Port David,North Carolina,Saint Pierre and Miquelon
183,South Christinamouth,Arkansas,Tunisia
209,North Lindseyfurt,Colorado,New Caledonia
380,Tiffanyshire,Iowa,Togo
133,Lynchmouth,Kansas,New Caledonia
447,Elizabethshire,Connecticut,Bouvet Island (Bouvetoya)
488,Kevintown,North Dakota,China
36,South Christina,Montana,Swaziland
95,Jennifermouth,Massachusetts,Malta
355,South Josephfort,Maine,Solomon Islands
19,Port Timothy,North Dakota,Netherlands
161,New Leviland,Colorado,Mali
306,Port Barbara,Montana,Burundi
231,East Olivia,Arkansas,Chad
201,West Peterfort,Ohio,Ireland
28,Beltranshire,Mississippi,Oman
255,Lake Patriciabury,Kansas,Netherlands
156,New Jennifermouth,West Virginia,Latvia
368,Port Patrick,New Mexico,Mayotte
102,Rogerport,Tennessee,Taiwan
16,Jillmouth,Connecticut,Macao
89,East Carrieborough,North Dakota,Saint Helena
438,Mercadomouth,Iowa,Saint Pierre and Miquelon
346,Lake Zacharybury,Vermont,Germany
430,Littleview,Indiana,Bulgaria
482,Reedport,Delaware,Czech Republic
60,Chelseaborough,Connecticut,Antigua and Barbuda
84,Wilsonbury,Iowa,Denmark
140,Lake Melissaland,Nebraska,Western Sahara
197,Haneytown,Missouri,Guernsey
236,Pagehaven,South Dakota,Guam
499,East Tracyborough,Indiana,Mali
44,Michaelview,Maryland,Trinidad and Tobago
225,Starkfurt,Kentucky,Turkmenistan
417,Lake Miranda,Tennessee,Thailand
452,West Stacey,South Dakota,Latvia
456,Elizabethview,Nebraska,Djibouti
58,New Derektown,Virginia,Guatemala
146,Davisshire,New York,Jordan
223,Lopezburgh,Ohio,Sudan
262,New Thomas,Florida,Jamaica
116,Phillipstown,Alabama,Congo
121,Port Andrew,Michigan,Solomon Islands
239,Stricklandview,Louisiana,Nicaragua
316,Parkerfurt,Pennsylvania,Antarctica (the territory South of 60 deg S)
214,Vangshire,Alabama,Mauritius
282,Deanside,Massachusetts,Liberia
365,Amandamouth,Iowa,Rwanda
63,Steeleburgh,Connecticut,Dominica
276,Andradestad,Hawaii,Switzerland
285,Robertofort,Tennessee,Belgium
374,West Curtisbury,Colorado,Albania
412,Phillipsbury,Minnesota,Rwanda
448,Mikemouth,Washington,Austria
179,Davisfurt,Mississippi,Grenada
331,Lisatown,Colorado,Oman
11,Schmidtborough,Virginia,Mauritania
137,Ericaview,Louisiana,Tokelau
335,Atkinsview,Louisiana,Seychelles
477,Alexanderport,California,Iran
320,Kirkfort,Nevada,Costa Rica
187,Jackiestad,Florida,Romania
349,Port Nancyville,Massachusetts,Micronesia
479,East Catherinebury,Georgia,Saint Vincent and the Grenadines
69,East Amy,North Carolina,Turkmenistan
107,South Kimberly,New Jersey,Kenya
310,New Alexander,New York,Iceland
361,East Blake,Alabama,Egypt
459,Nicholeville,Colorado,Cape Verde
435,Michaelberg,Connecticut,Thailand
489,East Jesse,Mississippi,Cyprus
17,New Thomas,Mississippi,Saint Lucia
70,Batesberg,Georgia,Cyprus
196,Port Jessica,Virginia,Cuba
367,East Paul,Maryland,Saint Lucia
472,Morrisport,Rhode Island,Swaziland
381,Port Candaceview,New Jersey,Jersey
454,West Jessica,Montana,Kyrgyz Republic
199,New Stephaniebury,New Hampshire,Isle of Man
42,East Nicole,Indiana,Cameroon
54,East Wendyport,Wisconsin,Guadeloupe
358,Ashleyburgh,New Hampshire,Pakistan
208,Coxborough,New Hampshire,Lithuania
429,Lake Sarah,Colorado,Zimbabwe
80,West Jacob,Oklahoma,Montenegro
238,East Diana,Alabama,Romania
350,Jamesshire,Hawaii,Netherlands
426,Hendersonshire,Indiana,Western Sahara
41,North Denise,Tennessee,Singapore
125,West Brandonstad,Oregon,Venezuela
215,Port Jonathanmouth,Wisconsin,Ethiopia
113,Lake Andrewborough,Tennessee,Cape Verde
462,Stoutton,South Dakota,Mauritania
38,Brianbury,Oregon,Timor-Leste
99,Isaacberg,Ohio,Costa Rica
275,Maryville,Vermont,Angola
286,Tanyaport,Delaware,Anguilla
384,East Paula,Idaho,Finland
377,West Victoriafurt,Tennessee,Tunisia
490,South Michaelland,Alaska,Turkmenistan
403,Jenkinsmouth,Idaho,Syrian Arab Republic
432,Kevinview,New York,Mayotte
175,New Williamview,Florida,Latvia
203,Douglastown,Michigan,Guam
423,Shawberg,Minnesota,Timor-Leste
81,Port Ryan,Arkansas,Comoros
39,West Phillip,California,Guatemala
40,New Jamesfurt,New Mexico,Sierra Leone
155,New Kyle,South Dakota,Romania
186,Davilafort,New Mexico,Gambia
98,East John,North Carolina,Northern Mariana Islands
413,Amystad,Arkansas,Jordan
441,Lake Williamton,Wisconsin,Liechtenstein
446,Lake Christopher,North Dakota,Malaysia
90,North Heather,South Dakota,Benin
93,Jenniferside,Pennsylvania,Cote d'Ivoire
485,South Travis,Nevada,Uzbekistan
180,Lake Kenneth,South Carolina,Guyana
434,Stephenfurt,Louisiana,Greenland
