product_id,product_name,category_id,price
89,Course Thought,3,24.85
129,American Political,8,439.69
156,Your Option,6,154.33
174,Although Might,7,336.33
190,Bar Rich,3,437.29
233,There Record,3,118.78
300,Have Better,6,351.81
15,Large Mission,3,135.99
57,Course Interesting,7,238.27
138,Soldier Difficult,4,428.01
181,Establish Hospital,5,263.07
226,Worker Perform,5,288.5
210,Federal Community,8,389.58
289,Example Level,6,481.77
96,Respond Culture,8,225.17
206,Care Fill,3,299.79
188,War Toward,2,214.65
11,Environment Best,2,164.65
28,Involve Student,1,181.16
246,Modern Mean,6,19.97
34,Camera South,5,484.07
170,Scene Left,5,391.08
29,Majority Study,3,376.91
239,Democrat Finally,7,496.91
125,Sell Operation,8,465.69
228,Close Paper,5,392.87
47,Event Lot,6,67.61
139,Clear Option,5,479.8
240,Knowledge Baby,5,41.31
267,Clearly All,6,156.16
30,Brother Certain,6,78.55
153,Share Compare,8,209.65
166,Worry Edge,2,84.45
51,State But,6,150.69
278,Court Ten,4,237.52
294,Garden Method,6,188.04
162,Admit Away,6,425.83
140,Best Cultural,3,272.71
271,Room Teach,8,380.2
81,Air Ok,5,215.78
182,Its Television,3,42.1
26,Eye Place,4,166.56
37,Chair I,2,344.34
4,Case Environmental,4,294.43
55,Language Wait,8,84.45
218,Point Example,2,283.73
13,Begin Same,2,339.04
222,Finally Ball,2,152.7
272,Every West,8,114.88
149,Single Form,8,174.05
123,Report Above,8,70.56
141,Indicate History,3,135.64
126,Law Challenge,2,160.66
5,Ago Common,2,388.66
38,Task Five,2,474.86
85,East Forget,1,297.6
292,Story Fall,4,179.21
6,Expert Black,3,348.03
276,Hand Letter,2,47.24
279,Painting Third,5,256.83
273,World Win,4,183.32
208,Agent Box,1,336.21
94,As Western,5,469.38
299,Push Clearly,3,225.87
133,Office Commercial,5,355.83
73,Rather Lot,6,243.8
221,We Lead,7,316.68
296,Young Energy,3,305.22
107,So Face,3,57.04
58,Film Control,4,142.5
265,Population Management,6,318.53
67,After Beautiful,7,234.1
204,Else Author,3,488.97
213,Speak Step,1,146.17
95,Real Hour,6,292.22
42,Ten Billion,4,147.17
145,School Remain,3,109.07
84,Also As,2,130.02
155,Be Answer,5,276.56
195,Age Article,7,259.87
178,People Any,1,136.25
59,Pick Around,3,362.73
104,Watch Deal,8,303.95
175,There Attorney,5,478.33
177,Television Present,7,188.0
87,Man Loss,3,122.36
106,Open Doctor,8,417.82
109,Little Growth,5,43.98
201,Machine Too,2,105.71
282,Near Current,4,95.56
27,Line Care,3,270.06
91,Learn Opportunity,3,95.54
97,Light Pass,8,47.21
