transaction_id,customer_id,product_id,date_id,amount,quantity
74,128,29,2022-05-26,1627.48,5
147,454,15,2021-09-29,316.9,4
148,1303,46,2022-12-10,850.82,1
324,1009,163,2022-06-19,1196.85,2
414,1724,110,2021-01-03,963.69,1
610,1122,235,2021-09-04,687.73,3
864,616,247,2022-05-19,817.97,3
865,809,286,2022-01-13,277.29,2
1163,1624,183,2021-02-15,1017.66,4
1277,349,243,2022-10-09,1351.46,4
1278,900,5,2022-12-20,1402.29,4
1333,1645,171,2022-04-19,580.23,3
1344,671,250,2021-09-03,121.56,3
1436,674,103,2022-06-24,502.25,1
1552,1553,26,2021-09-21,500.08,4
1598,351,147,2022-01-20,1264.52,3
1655,1316,265,2022-11-14,579.29,3
1730,1657,132,2021-11-06,1818.74,1
1784,1460,66,2022-06-20,270.06,1
1888,381,89,2021-05-14,54.15,3
2241,134,147,2021-01-27,871.66,1
2655,1811,26,2021-12-04,174.67,3
3135,544,33,2021-10-02,484.36,4
3465,1184,168,2021-07-18,31.76,4
3693,1213,193,2021-11-03,888.58,2
3990,1210,99,2021-09-18,523.98,2
4234,1378,235,2021-01-28,1516.25,3
4387,309,207,2022-11-08,894.89,4
4846,1112,102,2021-12-07,1979.77,3
4924,521,140,2021-10-21,1544.8,1
5135,168,139,2021-11-17,2353.82,5
5195,286,93,2021-04-17,453.63,1
5675,768,120,2022-08-21,100.68,2
6828,288,187,2021-02-14,224.96,1
7346,1675,183,2021-11-19,480.52,3
7649,999,155,2022-07-01,963.2,5
7913,322,85,2022-06-16,635.3,3
8092,1872,121,2021-06-13,146.65,1
8250,1167,85,2022-03-18,597.11,3
8731,1690,96,2022-01-22,246.95,2
8778,1665,128,2022-02-14,153.02,4
9284,534,83,2021-04-04,1358.03,2
9392,1581,283,2021-04-20,1025.28,1
9519,1907,96,2021-05-08,590.09,3
10544,354,116,2021-09-29,128.93,4
10615,668,12,2022-08-02,2289.39,5
10714,1118,281,2021-02-03,393.75,1
11236,1897,192,2022-04-11,317.43,1
11500,866,279,2022-04-08,225.19,5
11542,425,27,2022-12-03,994.3,4
11719,1400,74,2021-12-11,436.01,4
11939,1355,282,2022-11-19,334.57,2
12344,607,250,2021-07-06,178.38,2
