location_id,city,state,country
1,Nicoleport,South Dakota,Guadeloupe
2,Myershaven,Utah,Tajikistan
3,Keithmouth,Iowa,Burundi
4,Chambersland,Alaska,Liechtenstein
5,Lake Erinberg,Ohio,French Southern Territories
6,New Jane,Wyoming,French Polynesia
7,North Christopherchester,Illinois,Netherlands Antilles
8,Rodneyland,New Jersey,Svalbard & Jan Mayen Islands
9,Robertstad,Pennsylvania,Equatorial Guinea
10,New Jonathanchester,Minnesota,Guadeloupe
11,New Nicholasshire,Kentucky,Albania
12,Whitemouth,Missouri,Rwanda
13,Port Douglas,South Dakota,Czech Republic
14,Ashleyport,North Dakota,Romania
15,Laurenborough,Ohio,Lithuania
16,South Jeannefort,Hawaii,Afghanistan
17,North Alexander,Kansas,Austria
18,Lake Jilltown,Georgia,Iceland
19,Matthewshire,Oregon,Falkland Islands (Malvinas)
20,East Christopher,Ohio,Syrian Arab Republic
21,New Williamchester,Ohio,Macao
22,Gailton,Montana,Belgium
23,Drewport,Texas,British Indian Ocean Territory (Chagos Archipelago)
24,New Karenbury,Oklahoma,Azerbaijan
25,Acostafurt,Nebraska,United Kingdom
26,Morrisview,Florida,Panama
27,Lake Brent,Maryland,Grenada
28,Trevinoton,Minnesota,Algeria
29,Loweview,Massachusetts,Croatia
30,South Kimberlystad,Georgia,Samoa
31,South Robertfort,New Mexico,Paraguay
32,Bentonberg,South Dakota,Russian Federation
33,East Chad,New Jersey,Tunisia
34,Mcdanieltown,Nevada,Somalia
35,Johnhaven,Louisiana,Malawi
36,New Saraland,Tennessee,Angola
37,Joshuamouth,Nebraska,Samoa
38,Jamieborough,West Virginia,Cyprus
39,Nathanchester,Texas,Saint Pierre and Miquelon
40,Melissafort,Nebraska,Jordan
41,South Emma,Montana,Mozambique
42,Port Cody,Hawaii,Panama
43,Reynoldsshire,Maryland,Poland
44,South Markville,Wyoming,Hong Kong
45,Whiteport,Minnesota,Korea
46,Hunterhaven,West Virginia,Slovenia
47,Port Karla,Massachusetts,American Samoa
48,Scottstad,Rhode Island,Uzbekistan
49,Haleyport,Utah,Bhutan
50,New Jessica,Connecticut,Kazakhstan
51,Deanchester,Wisconsin,Heard Island and McDonald Islands
52,East Nichole,Washington,Suriname
53,Anthonyhaven,Virginia,Cape Verde
54,Ryanshire,Rhode Island,Senegal
55,Ronaldville,Minnesota,Canada
56,Barryland,Ohio,France
57,Colemanside,Louisiana,Saudi Arabia
58,Ronniemouth,Nebraska,Bulgaria
59,West Kaitlynfort,Kansas,Malta
60,South Melindafort,Rhode Island,Tuvalu
61,Crystalmouth,Pennsylvania,Palestinian Territory
62,Williamtown,New Jersey,Libyan Arab Jamahiriya
63,Carpenterstad,Louisiana,Brazil
64,Cortezburgh,Rhode Island,Oman
65,North Kevin,Kansas,Philippines
66,South Gabriella,Oklahoma,Spain
67,Katelynport,Pennsylvania,Seychelles
68,Stephaniefurt,Kansas,China
69,South Samuelton,Wyoming,Guyana
70,New Gloriaside,Hawaii,Liberia
71,Lake April,Utah,Luxembourg
72,South Nathanmouth,Kentucky,British Indian Ocean Territory (Chagos Archipelago)
73,Morganview,Connecticut,North Macedonia
74,Josephton,Alaska,Dominican Republic
75,Ericview,Mississippi,Netherlands Antilles
76,East Deborahmouth,Louisiana,Jamaica
77,Port Jamesburgh,Nebraska,Guernsey
78,Tylerchester,New Hampshire,French Southern Territories
79,Garciahaven,Vermont,Togo
80,Stephanieburgh,Tennessee,Nauru
81,Patriciafurt,North Carolina,Tokelau
82,Jenniferstad,Louisiana,Turks and Caicos Islands
83,Port Gary,Florida,Tuvalu
84,Morrisonbury,New Hampshire,Yemen
85,Lake Samanthamouth,South Carolina,Saudi Arabia
