transaction_id,customer_id,product_id,date_id,amount,quantity
1,1116,38,2021-04-26,1585.4,1
2,915,255,2021-01-19,948.58,2
3,1867,27,2021-04-27,,4
4,1477,64,2021-09-23,194.89,3
5,1863,290,2022-01-17,738.9,1
6,425,176,2022-11-10,123.47,4
7,1809,16,2022-10-09,203.03,2
8,885,40,2022-12-04,182.38,3
9,827,90,2022-09-09,861.51,4
10,733,126,2021-02-18,1141.02,4
11,862,218,2022-02-14,1788.53,2
12,1626,202,2022-12-06,794.61,1
13,584,37,2021-11-21,906.87,2
14,464,25,2022-06-27,405.46,5
15,632,274,2021-04-06,87.15,3
16,741,268,2021-12-15,344.33,2
17,1927,295,2021-01-25,750.02,2
18,1859,125,2021-03-03,145.59,3
19,1842,65,2021-09-30,303.26,3
20,503,112,2021-06-20,147.62,4
21,836,216,2022-05-22,,2
22,1956,11,2022-05-08,,2
23,253,49,2021-06-06,4.63,2
24,1899,126,2022-08-18,561.96,5
25,862,97,2022-04-05,530.18,3
26,1208,193,2022-04-15,,1
27,476,110,2021-10-21,1614.64,2
28,1564,106,2021-04-03,1819.44,2
29,5,146,2021-03-20,141.39,1
30,1788,205,2021-06-23,67.2,2
31,311,59,2022-07-17,2052.03,4
32,1911,84,2021-07-13,43.76,3
33,1863,108,2022-06-15,1482.02,4
34,261,202,2022-07-11,1004.48,2
35,1724,75,2021-11-14,383.41,3
36,1673,243,2021-07-14,616.51,5
37,556,29,2022-06-25,242.16,4
38,1940,171,2022-08-10,630.86,4
39,201,70,2021-10-28,421.71,5
40,1443,115,2022-04-25,351.03,1
41,565,64,2022-10-02,179.23,4
42,486,14,2021-10-30,1867.78,5
43,1936,118,2022-07-01,48.57,3
44,843,162,2021-04-26,1062.05,3
45,687,69,2021-03-03,582.35,1
46,1086,186,2021-10-12,936.81,5
47,738,277,2022-01-05,287.87,3
48,1238,224,2021-10-11,1979.39,5
49,987,101,2022-05-30,299.16,1
50,630,140,2021-04-20,1816.87,5
51,939,26,2022-10-05,268.43,5
52,687,300,2022-09-01,74.17,5
53,1170,187,2022-04-05,194.96,5
54,1680,86,2022-09-04,198.72,1
55,638,93,2022-08-24,413.5,3
56,254,135,2022-11-03,1144.23,1
57,456,160,2021-01-16,365.35,3
58,1230,223,2021-08-31,275.3,1
59,439,110,2021-06-24,1499.85,1
60,60,169,2021-05-09,,1
61,1960,23,2022-10-31,20.3,3
62,1325,255,2021-02-23,383.35,5
63,1665,280,2022-07-29,168.68,5
64,792,114,2021-02-13,922.36,5
65,1014,136,2021-09-19,461.24,4
66,204,164,2022-03-14,174.71,1
67,1524,258,2021-06-14,2360.44,2
68,1485,237,2022-02-17,382.21,1
